"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-04-24T23:01:14Z"
"Version","20170424230114"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability"
"8TVXXVK53DBQVQD4","JRTCKXETXF","8TVXXVK53DBQVQD4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2017-04-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","AWS Inbound","External","Other","EU (Ireland)","AWS Region","EU-DataTransfer-In-Bytes","",""
"79NTPPHFHST9DZGD","JRTCKXETXF","79NTPPHFHST9DZGD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Tokyo) Amazon S3 accelerated data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound using edge locations outside US, Europe or Japan","Asia Pacific (Tokyo)","AWS Region","EU (Ireland)","AWS Region","APN1-EU-AWS-In-ABytes-T2","",""
"2RPDHD7KE4SZYXM7","JRTCKXETXF","2RPDHD7KE4SZYXM7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (London) Amazon S3 accelerated data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations within US, Europe or Japan","EU (London)","AWS Region","EU (Ireland)","AWS Region","EUW2-EU-AWS-Out-ABytes-T1","",""
"5RH3HREJ5KRRE8G3","JRTCKXETXF","5RH3HREJ5KRRE8G3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Singapore) Amazon S3 accelerated data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound from close by location","Asia Pacific (Singapore)","AWS Region","EU (Ireland)","AWS Region","APS1-EU-AWS-In-ABytes","",""
"HKJQ9TX2RGDYE4SU","JRTCKXETXF","HKJQ9TX2RGDYE4SU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Germany) Amazon S3 accelerated data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","EU (Frankfurt)","AWS Region","EU (Ireland)","AWS Region","EUC1-EU-AWS-Out-ABytes-T2","",""
"DRGCUFKQWBTEEM7E","JRTCKXETXF","DRGCUFKQWBTEEM7E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer to EU (London)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations within US, Europe or Japan","EU (Ireland)","AWS Region","EU (London)","AWS Region","EU-EUW2-AWS-Out-ABytes-T1","",""
"H626VPFSJA3HJEPT","JRTCKXETXF","H626VPFSJA3HJEPT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to Asia Pacific (Mumbai)","2017-04-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Outbound","EU (Ireland)","AWS Region","Asia Pacific (Mumbai)","AWS Region","EU-APS3-AWS-Out-Bytes","",""
"CDJMTRWWCHVF6TBX","JRTCKXETXF","CDJMTRWWCHVF6TBX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.080 per GB - Amazon S3 accelerated data transfer in (from outside US, Europe or Japan)","2017-04-01","0","Inf","GB","0.0800000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated AWS Inbound using edge locations outside US, Europe or Japan","External","Other","EU (Ireland)","AWS Region","EU-DataTransfer-In-ABytes-T2","",""
"S7J6QMMSG92MPVC2","JRTCKXETXF","S7J6QMMSG92MPVC2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.055 per 1,000 Glacier Requests","2017-04-01","0","Inf","Requests","0.0000550000","USD","API Request","AmazonS3","EU (Ireland)","AWS Region","","","","","","S3-API-Tier3","Glacier Requests","","","","","","EU-Requests-Tier3","",""
"6CCX7AXBGKQVSCYS","JRTCKXETXF","6CCX7AXBGKQVSCYS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to EU (Ireland) from CloudFront","2017-04-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Inbound","EU (Ireland)","AWS Region","Amazon CloudFront","AWS Edge Location","EU-CloudFront-In-Bytes","",""
